Name,Score
cg13801416,0.1746125489549089
cg04448487,0.10653259323854242
cg06291867,0.10553843695224908
cg11038843,0.09605358069549426
cg24928687,0.09385751791534155
cg25935911,0.09186633595352243
cg17580045,0.09133651697737402
cg20663831,0.09044475707145035
cg03459809,0.08974584419644889
cg11896271,0.08893974025635557
cg06509239,0.08873109060375647
cg23710218,0.08849539443773635
cg07845390,0.08576428467467319
cg07403350,0.08397380443580395
cg17803089,0.08295580538915201
cg20357628,0.0827328862153322
cg13102585,0.08219306521880719
cg07703401,0.08162998348725459
cg12265829,0.08139267751629052
cg23178308,0.08120777104471365
cg18397523,0.0793937133322791
cg03294619,0.07912347948359386
cg09649610,0.07861796122852402
cg02879662,0.07770091514216665
cg19885761,0.077673788071905
cg18416881,0.07740635769049097
cg23922454,0.07411897015022717
cg23559331,0.07341582887555308
cg00174901,0.07338071852440611
cg15271616,0.07243964503713199
cg01561916,0.0718952593241096
cg25167447,-0.0714810899654142
cg11935147,0.06982789235941599
cg20143092,0.06795983699660803
cg07773116,-0.0674277074515016
cg26486663,0.06727128542525833
cg04101379,0.06709588480412547
cg02126753,-0.06685013457355234
cg01795122,0.06599476900181371
cg24778383,0.0659283502263194
cg13494498,0.06592552270970987
cg24194775,0.06534383172574615
cg21269934,0.06497419035079946
cg23473904,0.06345272920559146
cg10801213,0.06190362962510411
cg26299767,0.06107697920724311
cg23540518,0.061060221845265
cg16232126,0.06100740647034111
cg26609631,0.0595410054704403
cg05109049,0.059014312831683305
cg00117172,0.058860081396110694
cg15361750,0.058836207217213526
cg13372488,0.05862156244322471
cg02729303,0.0580459939389539
cg18992688,0.05639826684569223
cg16377872,0.056083620030259074
cg09231514,-0.056076292612386947
cg16924616,0.056067775299560384
cg04920951,0.055852243331563474
cg26189983,0.055323022282158435
cg24642523,0.05523811824933497
cg12613383,0.055061650586728274
cg25971347,0.054877212271925574
cg24250393,0.05402567746191255
cg23391785,0.05392330665787241
cg04970117,0.05372943673534238
cg04981492,0.05269837508976624
cg19063972,0.052681809275785065
cg27619475,0.052647887138975204
cg20557202,0.052163869061245274
cg06437004,0.05196529670363939
cg04726446,0.05183041777691704
cg21376883,0.05180835923113139
cg11670211,0.05164580231105278
cg02672493,0.05096856467681438
cg09462576,0.050743562026405946
cg09829319,0.050694522541735815
cg03425110,0.050630091381202946
cg17820459,0.050597598680954946
cg23051664,0.05040082351403604
cg17834752,0.05034449064410525
cg20955688,0.050143741826125535
cg14696396,0.0499956322747237
cg16313343,0.049333385621769955
